ID	 KNN
0	40,126,20,52,133,124,148,198,43,183
1	57,97,169,3,63,173,21,31,6,30
2	125,111,168,199,175,147,77,165,89,182
3	1,57,173,169,114,97,63,6,12,21
4	24,25,144,113,41,54,134,71,89,77
5	68,33,128,179,127,36,149,140,189,23
6	21,63,173,122,100,57,83,184,3,1
7	120,11,18,82,170,59,73,187,62,10
8	32,58,27,70,163,172,65,83,177,44
9	181,193,110,72,14,139,50,78,158,153
10	136,82,62,145,11,60,195,73,170,192
11	82,7,120,170,73,10,195,62,18,145
12	16,123,114,3,132,197,38,160,103,23
13	112,174,47,155,138,142,154,94,88,22
14	139,181,50,9,193,110,28,164,72,86
15	157,178,194,61,45,161,164,35,110,28
16	12,123,132,197,160,38,3,103,23,114
17	159,65,101,44,70,49,177,83,184,100
18	120,7,59,108,11,170,39,187,82,103
19	167,150,196,153,78,158,72,185,95,35
20	126,52,0,40,133,124,148,129,183,43
21	63,6,173,163,57,100,122,83,1,184
22	88,154,49,46,101,130,159,92,138,94
23	149,123,39,103,160,33,127,16,108,132
24	4,113,25,144,41,71,134,54,184,89
25	144,134,54,119,89,4,77,121,41,24
26	79,34,104,109,42,105,37,198,43,85
27	32,8,58,172,163,70,186,141,64,177
28	164,192,86,56,139,15,60,14,157,178
29	87,99,183,180,116,105,42,129,135,198
30	31,169,97,140,1,64,186,68,57,3
31	30,97,169,64,186,1,57,140,3,172
32	8,58,27,163,70,172,65,83,177,44
33	127,36,149,5,23,108,39,128,68,179
34	109,79,26,91,104,185,196,95,85,37
35	194,78,178,61,157,15,110,80,72,161
36	127,33,108,149,5,39,106,128,23,179
37	43,48,191,124,85,198,148,133,105,104
38	197,132,160,199,123,103,168,187,59,16
39	103,108,160,123,23,149,127,132,33,36
40	0,133,126,52,124,148,20,43,198,48
41	71,89,77,134,144,25,4,119,114,24
42	105,104,180,135,198,183,26,29,124,43
43	37,124,198,48,191,148,85,133,105,40
44	177,70,65,101,159,94,17,49,58,142
45	161,98,157,182,61,15,147,178,194,175
46	22,88,130,49,92,154,107,101,159,76
47	142,112,94,141,13,177,174,154,44,70
48	191,148,85,37,43,133,124,198,40,105
49	101,22,154,159,88,46,44,94,177,17
50	14,193,181,139,9,110,118,72,28,158
51	146,135,54,74,180,99,29,87,42,66
52	126,20,40,0,133,148,124,48,43,198
53	171,96,151,156,162,188,116,129,74,55
54	25,144,146,119,51,121,4,134,81,117
55	156,96,151,188,107,69,75,113,74,53
56	192,86,131,137,60,28,136,164,10,145
57	1,97,63,3,169,21,173,6,163,31
58	8,32,70,27,65,177,44,163,83,141
59	187,18,7,120,38,132,197,103,160,39
60	192,136,62,56,10,164,28,98,145,82
61	194,157,161,178,35,182,45,15,115,165
62	10,82,60,136,11,98,145,7,192,120
63	21,6,57,173,163,1,3,122,100,83
64	186,31,172,97,30,169,57,1,163,63
65	70,44,17,177,159,58,101,83,8,100
66	90,117,81,146,135,196,150,104,26,42
67	121,84,119,165,115,80,81,134,147,89
68	140,5,30,149,33,179,128,23,190,127
69	75,107,76,92,55,156,130,151,96,46
70	44,65,177,58,8,32,17,94,101,141
71	41,77,89,114,134,122,184,173,144,4
72	78,9,153,158,110,193,181,167,19,35
73	170,195,11,82,145,120,7,10,18,62
74	188,51,113,96,55,116,171,53,156,99
75	69,107,76,92,130,46,55,88,22,156
76	92,130,75,107,69,46,88,138,22,154
77	89,134,41,119,144,71,25,2,121,67
78	35,72,194,110,19,178,167,61,150,9
79	34,109,26,104,37,85,91,185,105,42
80	81,84,67,117,121,115,165,35,90,61
81	117,80,121,67,90,66,84,119,54,115
82	11,10,62,7,73,120,170,195,145,136
83	100,122,184,21,163,6,63,65,58,17
84	67,165,115,80,121,147,182,119,175,81
85	191,48,37,148,43,124,133,79,109,198
86	56,28,192,164,137,131,176,60,139,136
87	99,29,183,116,180,129,162,135,105,42
88	22,154,130,49,46,138,92,101,76,13
89	77,134,41,144,119,25,71,121,67,2
90	66,117,196,81,150,80,19,167,185,26
91	95,185,102,109,34,166,152,196,143,79
92	130,76,75,107,46,88,69,22,138,154
93	189,179,128,190,106,5,36,33,127,68
94	142,177,47,141,112,44,154,101,70,49
95	185,91,102,152,166,153,158,196,167,143
96	156,151,55,188,53,74,69,107,171,75
97	169,1,57,31,30,3,186,64,63,21
98	45,161,62,182,60,157,147,15,111,175
99	87,29,116,183,180,129,162,135,105,42
100	122,184,83,6,21,63,173,163,65,17
101	159,49,44,17,22,177,154,65,94,70
102	166,152,143,95,91,158,153,118,185,167
103	160,123,39,132,23,38,197,149,108,59
104	42,26,105,79,198,180,34,37,135,43
105	42,198,104,180,183,124,43,135,37,26
106	128,189,93,36,179,127,33,5,190,108
107	75,69,92,76,130,55,46,156,22,88
108	39,18,127,36,103,33,160,149,23,123
109	34,79,26,91,104,185,85,37,95,191
110	181,9,72,178,78,194,14,193,139,35
111	168,125,2,199,175,147,182,187,98,161
112	13,47,142,94,174,141,154,177,155,88
113	24,4,188,74,55,107,96,156,46,54
114	173,3,12,6,71,16,1,57,63,21
115	165,147,182,84,175,61,161,67,80,121
116	99,162,129,87,171,29,183,180,74,53
117	81,90,66,80,121,67,150,146,54,119
118	143,152,166,102,158,153,193,72,95,9
119	121,67,134,144,89,25,77,84,81,54
120	7,18,11,170,82,59,73,187,195,62
121	67,119,84,81,134,80,144,89,165,25
122	100,184,83,6,21,63,173,163,71,114
123	160,103,132,23,39,197,38,149,16,12
124	198,43,37,148,133,48,40,105,191,183
125	2,111,168,199,175,147,77,197,38,182
126	52,20,0,40,133,148,124,43,48,198
127	36,33,149,108,5,39,23,128,106,103
128	179,189,93,5,190,106,33,36,127,68
129	162,116,171,87,99,29,183,53,180,0
130	92,76,88,46,75,22,138,107,154,69
131	137,56,86,192,136,145,176,60,10,28
132	38,197,160,123,103,16,199,59,12,39
